date,case_status,cases,deaths,county,cases_rolling,deaths_rolling
2020-03-01,Confirmed,7,0,metro,,
2020-03-02,Confirmed,6,0,metro,,
2020-03-03,Confirmed,14,0,metro,,
2020-03-04,Confirmed,14,0,metro,,
2020-03-05,Confirmed,11,0,metro,,
2020-03-06,Confirmed,22,0,metro,,
2020-03-07,Confirmed,29,0,metro,14.714285714285714,0.0
2020-03-08,Confirmed,38,0,metro,19.142857142857142,0.0
2020-03-09,Confirmed,71,0,metro,28.428571428571427,0.0
2020-03-10,Confirmed,84,0,metro,38.42857142857143,0.0
2020-03-11,Confirmed,128,0,metro,54.714285714285715,0.0
2020-03-12,Confirmed,159,0,metro,75.85714285714286,0.0
2020-03-13,Confirmed,228,0,metro,105.28571428571429,0.0
2020-03-14,Confirmed,221,0,metro,132.71428571428572,0.0
2020-03-15,Confirmed,280,0,metro,167.28571428571428,0.0
2020-03-16,Confirmed,400,1,metro,214.28571428571428,0.14285714285714285
2020-03-17,Confirmed,477,0,metro,270.42857142857144,0.14285714285714285
2020-03-18,Confirmed,514,1,metro,325.57142857142856,0.2857142857142857
2020-03-19,Confirmed,447,3,metro,366.7142857142857,0.7142857142857143
2020-03-20,Confirmed,564,1,metro,414.7142857142857,0.8571428571428571
2020-03-21,Confirmed,436,5,metro,445.42857142857144,1.5714285714285714
2020-03-22,Confirmed,469,7,metro,472.42857142857144,2.5714285714285716
2020-03-23,Confirmed,714,10,metro,517.2857142857143,3.857142857142857
2020-03-24,Confirmed,578,14,metro,531.7142857142857,5.857142857142857
2020-03-25,Confirmed,620,16,metro,546.8571428571429,8.0
2020-03-26,Confirmed,590,26,metro,567.2857142857143,11.285714285714286
2020-03-27,Confirmed,693,25,metro,585.7142857142857,14.714285714285714
2020-03-28,Confirmed,557,28,metro,603.0,18.0
2020-03-29,Confirmed,469,36,metro,603.0,22.142857142857142
2020-03-30,Confirmed,865,39,metro,624.5714285714286,26.285714285714285
2020-03-31,Confirmed,720,70,metro,644.8571428571429,34.285714285714285
2020-04-01,Confirmed,851,68,metro,677.8571428571429,41.714285714285715
2020-04-02,Confirmed,639,70,metro,684.8571428571429,48.0
2020-04-03,Confirmed,649,65,metro,678.5714285714286,53.714285714285715
2020-04-04,Confirmed,534,67,metro,675.2857142857143,59.285714285714285
2020-04-05,Confirmed,447,58,metro,672.1428571428571,62.42857142857143
2020-04-06,Confirmed,675,68,metro,645.0,66.57142857142857
2020-04-07,Confirmed,618,94,metro,630.4285714285714,70.0
2020-04-08,Confirmed,565,77,metro,589.5714285714286,71.28571428571429
2020-04-09,Confirmed,552,71,metro,577.1428571428571,71.42857142857143
2020-04-10,Confirmed,518,95,metro,558.4285714285714,75.71428571428571
2020-04-11,Confirmed,320,89,metro,527.8571428571429,78.85714285714286
2020-04-12,Confirmed,308,99,metro,508.0,84.71428571428571
2020-04-13,Confirmed,449,68,metro,475.7142857142857,84.71428571428571
2020-04-14,Confirmed,414,74,metro,446.57142857142856,81.85714285714286
2020-04-15,Confirmed,431,74,metro,427.42857142857144,81.42857142857143
2020-04-16,Confirmed,390,78,metro,404.2857142857143,82.42857142857143
2020-04-17,Confirmed,349,75,metro,380.14285714285717,79.57142857142857
2020-04-18,Confirmed,264,73,metro,372.14285714285717,77.28571428571429
2020-04-19,Confirmed,192,69,metro,355.57142857142856,73.0
2020-04-20,Confirmed,373,53,metro,344.7142857142857,70.85714285714286
2020-04-21,Confirmed,390,66,metro,341.2857142857143,69.71428571428571
2020-04-22,Confirmed,366,72,metro,332.0,69.42857142857143
2020-04-23,Confirmed,351,48,metro,326.42857142857144,65.14285714285714
2020-04-24,Confirmed,327,65,metro,323.2857142857143,63.714285714285715
2020-04-25,Confirmed,164,66,metro,309.0,62.714285714285715
2020-04-26,Confirmed,166,58,metro,305.2857142857143,61.142857142857146
2020-04-27,Confirmed,316,54,metro,297.14285714285717,61.285714285714285
2020-04-28,Confirmed,289,58,metro,282.7142857142857,60.142857142857146
2020-04-29,Confirmed,238,55,metro,264.42857142857144,57.714285714285715
2020-04-30,Confirmed,263,52,metro,251.85714285714286,58.285714285714285
2020-05-01,Confirmed,242,44,metro,239.71428571428572,55.285714285714285
2020-05-02,Confirmed,125,36,metro,234.14285714285714,51.0
2020-05-03,Confirmed,106,38,metro,225.57142857142858,48.142857142857146
2020-05-04,Confirmed,280,46,metro,220.42857142857142,47.0
2020-05-05,Confirmed,227,28,metro,211.57142857142858,42.714285714285715
2020-05-06,Confirmed,216,23,metro,208.42857142857142,38.142857142857146
2020-05-07,Confirmed,194,50,metro,198.57142857142858,37.857142857142854
2020-05-08,Confirmed,188,24,metro,190.85714285714286,35.0
2020-05-09,Confirmed,119,19,metro,190.0,32.57142857142857
2020-05-10,Confirmed,67,23,metro,184.42857142857142,30.428571428571427
2020-05-11,Confirmed,198,23,metro,172.71428571428572,27.142857142857142
2020-05-12,Confirmed,146,23,metro,161.14285714285714,26.428571428571427
2020-05-13,Confirmed,148,20,metro,151.42857142857142,26.0
2020-05-14,Confirmed,130,18,metro,142.28571428571428,21.428571428571427
2020-05-15,Confirmed,162,27,metro,138.57142857142858,21.857142857142858
2020-05-16,Confirmed,80,14,metro,133.0,21.142857142857142
2020-05-17,Confirmed,44,16,metro,129.71428571428572,20.142857142857142
2020-05-18,Confirmed,124,16,metro,119.14285714285714,19.142857142857142
2020-05-19,Confirmed,141,20,metro,118.42857142857143,18.714285714285715
2020-05-20,Confirmed,130,18,metro,115.85714285714286,18.428571428571427
2020-05-21,Confirmed,124,16,metro,115.0,18.142857142857142
2020-05-22,Confirmed,122,14,metro,109.28571428571429,16.285714285714285
2020-05-23,Confirmed,53,15,metro,105.42857142857143,16.428571428571427
2020-05-24,Confirmed,31,15,metro,103.57142857142857,16.285714285714285
2020-05-25,Confirmed,38,14,metro,91.28571428571429,16.0
2020-05-26,Confirmed,151,7,metro,92.71428571428571,14.142857142857142
2020-05-27,Confirmed,126,9,metro,92.14285714285714,12.857142857142858
2020-05-28,Confirmed,104,13,metro,89.28571428571429,12.428571428571429
2020-05-29,Confirmed,99,11,metro,86.0,12.0
2020-05-30,Confirmed,63,8,metro,87.42857142857143,11.0
2020-05-31,Confirmed,59,8,metro,91.42857142857143,10.0
2020-06-01,Confirmed,65,11,metro,95.28571428571429,9.571428571428571
2020-06-02,Confirmed,82,8,metro,85.42857142857143,9.714285714285714
2020-06-03,Confirmed,76,10,metro,78.28571428571429,9.857142857142858
2020-06-04,Confirmed,83,7,metro,75.28571428571429,9.0
2020-06-05,Confirmed,81,5,metro,72.71428571428571,8.142857142857142
2020-06-06,Confirmed,42,4,metro,69.71428571428571,7.571428571428571
2020-06-07,Confirmed,29,7,metro,65.42857142857143,7.428571428571429
2020-06-08,Confirmed,77,4,metro,67.14285714285714,6.428571428571429
2020-06-09,Confirmed,79,8,metro,66.71428571428571,6.428571428571429
2020-06-10,Confirmed,92,10,metro,69.0,6.428571428571429
2020-06-11,Confirmed,83,7,metro,69.0,6.428571428571429
2020-06-12,Confirmed,80,2,metro,68.85714285714286,6.0
2020-06-13,Confirmed,50,3,metro,70.0,5.857142857142857
2020-06-14,Confirmed,41,4,metro,71.71428571428571,5.428571428571429
2020-06-15,Confirmed,74,6,metro,71.28571428571429,5.714285714285714
2020-06-16,Confirmed,98,3,metro,74.0,5.0
2020-06-17,Confirmed,123,3,metro,78.42857142857143,4.0
2020-06-18,Confirmed,94,5,metro,80.0,3.7142857142857144
2020-06-19,Confirmed,129,3,metro,87.0,3.857142857142857
2020-06-20,Confirmed,62,5,metro,88.71428571428571,4.142857142857143
2020-06-21,Confirmed,90,2,metro,95.71428571428571,3.857142857142857
2020-06-22,Confirmed,179,4,metro,110.71428571428571,3.5714285714285716
2020-06-23,Confirmed,212,2,metro,127.0,3.4285714285714284
2020-06-24,Confirmed,204,2,metro,138.57142857142858,3.2857142857142856
2020-06-25,Confirmed,185,3,metro,151.57142857142858,3.0
2020-06-26,Confirmed,171,1,metro,157.57142857142858,2.7142857142857144
2020-06-27,Confirmed,140,5,metro,168.71428571428572,2.7142857142857144
2020-06-28,Confirmed,115,6,metro,172.28571428571428,3.2857142857142856
2020-06-29,Confirmed,218,4,metro,177.85714285714286,3.2857142857142856
2020-06-30,Confirmed,220,4,metro,179.0,3.5714285714285716
2020-07-01,Confirmed,217,4,metro,180.85714285714286,3.857142857142857
2020-07-02,Confirmed,221,4,metro,186.0,4.0
2020-07-03,Confirmed,197,6,metro,189.71428571428572,4.714285714285714
2020-07-04,Confirmed,118,4,metro,186.57142857142858,4.571428571428571
2020-07-05,Confirmed,154,0,metro,192.14285714285714,3.7142857142857144
2020-07-06,Confirmed,312,1,metro,205.57142857142858,3.2857142857142856
2020-07-07,Confirmed,284,5,metro,214.71428571428572,3.4285714285714284
2020-07-08,Confirmed,297,3,metro,226.14285714285714,3.2857142857142856
2020-07-09,Confirmed,259,3,metro,231.57142857142858,3.142857142857143
2020-07-10,Confirmed,271,2,metro,242.14285714285714,2.5714285714285716
2020-07-11,Confirmed,197,3,metro,253.42857142857142,2.4285714285714284
2020-07-12,Confirmed,185,5,metro,257.85714285714283,3.142857142857143
2020-07-13,Confirmed,382,1,metro,267.85714285714283,3.142857142857143
2020-07-14,Confirmed,314,1,metro,272.14285714285717,2.5714285714285716
2020-07-15,Confirmed,301,1,metro,272.7142857142857,2.2857142857142856
2020-07-16,Confirmed,326,3,metro,282.2857142857143,2.2857142857142856
2020-07-17,Confirmed,271,2,metro,282.2857142857143,2.2857142857142856
2020-07-18,Confirmed,203,4,metro,283.14285714285717,2.4285714285714284
2020-07-19,Confirmed,167,0,metro,280.57142857142856,1.7142857142857142
2020-07-20,Confirmed,370,3,metro,278.85714285714283,2.0
2020-07-21,Confirmed,341,4,metro,282.7142857142857,2.4285714285714284
2020-07-22,Confirmed,356,2,metro,290.57142857142856,2.5714285714285716
2020-07-23,Confirmed,321,3,metro,289.85714285714283,2.5714285714285716
2020-07-24,Confirmed,309,5,metro,295.2857142857143,3.0
2020-07-25,Confirmed,235,1,metro,299.85714285714283,2.5714285714285716
2020-07-26,Confirmed,198,2,metro,304.2857142857143,2.857142857142857
2020-07-27,Confirmed,348,2,metro,301.14285714285717,2.7142857142857144
2020-07-28,Confirmed,366,2,metro,304.7142857142857,2.4285714285714284
