county,date,case_status,cases,deaths,cases_cumulative,deaths_cumulative,updated
Alcona,2020-03-01,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-02,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-03,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-04,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-05,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-06,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-07,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-08,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-09,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-10,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-11,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-12,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-13,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-14,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-15,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-16,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-17,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-18,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-19,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-20,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-21,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-22,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-23,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-24,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-25,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-26,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-27,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-28,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-29,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-30,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-03-31,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-04-01,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-04-02,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-04-03,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-04-04,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
Alcona,2020-04-05,Confirmed,0,0,0,0,2021-01-20 14:16:51.396
