date,case_status,cases,deaths,county,cases_rolling,deaths_rolling
2020-03-01,Confirmed,7,0,tricounty,,
2020-03-02,Confirmed,6,0,tricounty,,
2020-03-03,Confirmed,14,0,tricounty,,
2020-03-04,Confirmed,14,0,tricounty,,
2020-03-05,Confirmed,11,0,tricounty,,
2020-03-06,Confirmed,22,0,tricounty,,
2020-03-07,Confirmed,29,0,tricounty,14.714285714285714,0.0
2020-03-08,Confirmed,37,0,tricounty,19.0,0.0
2020-03-09,Confirmed,69,0,tricounty,28.0,0.0
2020-03-10,Confirmed,83,0,tricounty,37.857142857142854,0.0
2020-03-11,Confirmed,126,0,tricounty,53.857142857142854,0.0
2020-03-12,Confirmed,155,0,tricounty,74.42857142857143,0.0
2020-03-13,Confirmed,225,0,tricounty,103.42857142857143,0.0
2020-03-14,Confirmed,213,0,tricounty,129.71428571428572,0.0
2020-03-15,Confirmed,275,0,tricounty,163.71428571428572,0.0
2020-03-16,Confirmed,387,1,tricounty,209.14285714285714,0.14285714285714285
2020-03-17,Confirmed,464,0,tricounty,263.57142857142856,0.14285714285714285
2020-03-18,Confirmed,503,1,tricounty,317.42857142857144,0.2857142857142857
2020-03-19,Confirmed,440,3,tricounty,358.14285714285717,0.7142857142857143
2020-03-20,Confirmed,551,1,tricounty,404.7142857142857,0.8571428571428571
2020-03-21,Confirmed,430,5,tricounty,435.7142857142857,1.5714285714285714
2020-03-22,Confirmed,454,7,tricounty,461.2857142857143,2.5714285714285716
2020-03-23,Confirmed,687,10,tricounty,504.14285714285717,3.857142857142857
2020-03-24,Confirmed,569,13,tricounty,519.1428571428571,5.714285714285714
2020-03-25,Confirmed,604,16,tricounty,533.5714285714286,7.857142857142857
2020-03-26,Confirmed,574,25,tricounty,552.7142857142857,11.0
2020-03-27,Confirmed,672,25,tricounty,570.0,14.428571428571429
2020-03-28,Confirmed,544,28,tricounty,586.2857142857143,17.714285714285715
2020-03-29,Confirmed,462,36,tricounty,587.4285714285714,21.857142857142858
2020-03-30,Confirmed,853,39,tricounty,611.1428571428571,26.0
2020-03-31,Confirmed,703,70,tricounty,630.2857142857143,34.142857142857146
2020-04-01,Confirmed,825,68,tricounty,661.8571428571429,41.57142857142857
2020-04-02,Confirmed,622,70,tricounty,668.7142857142857,48.0
2020-04-03,Confirmed,630,65,tricounty,662.7142857142857,53.714285714285715
2020-04-04,Confirmed,519,67,tricounty,659.1428571428571,59.285714285714285
2020-04-05,Confirmed,433,58,tricounty,655.0,62.42857142857143
2020-04-06,Confirmed,659,66,tricounty,627.2857142857143,66.28571428571429
2020-04-07,Confirmed,599,91,tricounty,612.4285714285714,69.28571428571429
2020-04-08,Confirmed,553,75,tricounty,573.5714285714286,70.28571428571429
2020-04-09,Confirmed,540,71,tricounty,561.8571428571429,70.42857142857143
2020-04-10,Confirmed,499,91,tricounty,543.1428571428571,74.14285714285714
2020-04-11,Confirmed,306,89,tricounty,512.7142857142857,77.28571428571429
2020-04-12,Confirmed,300,98,tricounty,493.7142857142857,83.0
2020-04-13,Confirmed,441,65,tricounty,462.57142857142856,82.85714285714286
2020-04-14,Confirmed,405,70,tricounty,434.85714285714283,79.85714285714286
2020-04-15,Confirmed,419,73,tricounty,415.7142857142857,79.57142857142857
2020-04-16,Confirmed,385,76,tricounty,393.57142857142856,80.28571428571429
2020-04-17,Confirmed,343,70,tricounty,371.2857142857143,77.28571428571429
2020-04-18,Confirmed,260,71,tricounty,364.7142857142857,74.71428571428571
2020-04-19,Confirmed,189,68,tricounty,348.85714285714283,70.42857142857143
2020-04-20,Confirmed,367,53,tricounty,338.2857142857143,68.71428571428571
2020-04-21,Confirmed,387,66,tricounty,335.7142857142857,68.14285714285714
2020-04-22,Confirmed,361,72,tricounty,327.42857142857144,68.0
2020-04-23,Confirmed,344,46,tricounty,321.57142857142856,63.714285714285715
2020-04-24,Confirmed,321,64,tricounty,318.42857142857144,62.857142857142854
2020-04-25,Confirmed,156,64,tricounty,303.57142857142856,61.857142857142854
2020-04-26,Confirmed,163,54,tricounty,299.85714285714283,59.857142857142854
2020-04-27,Confirmed,308,52,tricounty,291.42857142857144,59.714285714285715
2020-04-28,Confirmed,279,58,tricounty,276.0,58.57142857142857
2020-04-29,Confirmed,234,54,tricounty,257.85714285714283,56.0
2020-04-30,Confirmed,253,51,tricounty,244.85714285714286,56.714285714285715
2020-05-01,Confirmed,237,42,tricounty,232.85714285714286,53.57142857142857
2020-05-02,Confirmed,123,36,tricounty,228.14285714285714,49.57142857142857
2020-05-03,Confirmed,103,37,tricounty,219.57142857142858,47.142857142857146
2020-05-04,Confirmed,273,45,tricounty,214.57142857142858,46.142857142857146
2020-05-05,Confirmed,223,27,tricounty,206.57142857142858,41.714285714285715
2020-05-06,Confirmed,213,23,tricounty,203.57142857142858,37.285714285714285
2020-05-07,Confirmed,191,50,tricounty,194.71428571428572,37.142857142857146
2020-05-08,Confirmed,184,23,tricounty,187.14285714285714,34.42857142857143
2020-05-09,Confirmed,117,19,tricounty,186.28571428571428,32.0
2020-05-10,Confirmed,66,23,tricounty,181.0,30.0
2020-05-11,Confirmed,193,22,tricounty,169.57142857142858,26.714285714285715
2020-05-12,Confirmed,144,22,tricounty,158.28571428571428,26.0
2020-05-13,Confirmed,145,20,tricounty,148.57142857142858,25.571428571428573
2020-05-14,Confirmed,129,16,tricounty,139.71428571428572,20.714285714285715
2020-05-15,Confirmed,161,27,tricounty,136.42857142857142,21.285714285714285
2020-05-16,Confirmed,76,14,tricounty,130.57142857142858,20.571428571428573
2020-05-17,Confirmed,41,16,tricounty,127.0,19.571428571428573
2020-05-18,Confirmed,120,15,tricounty,116.57142857142857,18.571428571428573
2020-05-19,Confirmed,135,20,tricounty,115.28571428571429,18.285714285714285
2020-05-20,Confirmed,128,18,tricounty,112.85714285714286,18.0
2020-05-21,Confirmed,123,16,tricounty,112.0,18.0
2020-05-22,Confirmed,120,14,tricounty,106.14285714285714,16.142857142857142
2020-05-23,Confirmed,50,15,tricounty,102.42857142857143,16.285714285714285
2020-05-24,Confirmed,31,15,tricounty,101.0,16.142857142857142
2020-05-25,Confirmed,37,14,tricounty,89.14285714285714,16.0
2020-05-26,Confirmed,150,7,tricounty,91.28571428571429,14.142857142857142
2020-05-27,Confirmed,121,9,tricounty,90.28571428571429,12.857142857142858
2020-05-28,Confirmed,97,13,tricounty,86.57142857142857,12.428571428571429
2020-05-29,Confirmed,93,11,tricounty,82.71428571428571,12.0
2020-05-30,Confirmed,61,8,tricounty,84.28571428571429,11.0
2020-05-31,Confirmed,57,8,tricounty,88.0,10.0
2020-06-01,Confirmed,60,11,tricounty,91.28571428571429,9.571428571428571
2020-06-02,Confirmed,78,8,tricounty,81.0,9.714285714285714
2020-06-03,Confirmed,73,10,tricounty,74.14285714285714,9.857142857142858
2020-06-04,Confirmed,81,7,tricounty,71.85714285714286,9.0
2020-06-05,Confirmed,78,4,tricounty,69.71428571428571,8.0
2020-06-06,Confirmed,41,4,tricounty,66.85714285714286,7.428571428571429
2020-06-07,Confirmed,27,7,tricounty,62.57142857142857,7.285714285714286
2020-06-08,Confirmed,74,4,tricounty,64.57142857142857,6.285714285714286
2020-06-09,Confirmed,78,8,tricounty,64.57142857142857,6.285714285714286
2020-06-10,Confirmed,87,10,tricounty,66.57142857142857,6.285714285714286
2020-06-11,Confirmed,82,7,tricounty,66.71428571428571,6.285714285714286
2020-06-12,Confirmed,76,2,tricounty,66.42857142857143,6.0
2020-06-13,Confirmed,47,3,tricounty,67.28571428571429,5.857142857142857
2020-06-14,Confirmed,37,4,tricounty,68.71428571428571,5.428571428571429
2020-06-15,Confirmed,70,6,tricounty,68.14285714285714,5.714285714285714
2020-06-16,Confirmed,92,3,tricounty,70.14285714285714,5.0
2020-06-17,Confirmed,111,3,tricounty,73.57142857142857,4.0
2020-06-18,Confirmed,90,5,tricounty,74.71428571428571,3.7142857142857144
2020-06-19,Confirmed,103,3,tricounty,78.57142857142857,3.857142857142857
2020-06-20,Confirmed,58,5,tricounty,80.14285714285714,4.142857142857143
2020-06-21,Confirmed,80,2,tricounty,86.28571428571429,3.857142857142857
2020-06-22,Confirmed,166,4,tricounty,100.0,3.5714285714285716
2020-06-23,Confirmed,204,2,tricounty,116.0,3.4285714285714284
2020-06-24,Confirmed,186,2,tricounty,126.71428571428571,3.2857142857142856
2020-06-25,Confirmed,178,3,tricounty,139.28571428571428,3.0
2020-06-26,Confirmed,166,1,tricounty,148.28571428571428,2.7142857142857144
2020-06-27,Confirmed,131,5,tricounty,158.71428571428572,2.7142857142857144
2020-06-28,Confirmed,111,6,tricounty,163.14285714285714,3.2857142857142856
2020-06-29,Confirmed,204,4,tricounty,168.57142857142858,3.2857142857142856
2020-06-30,Confirmed,217,4,tricounty,170.42857142857142,3.5714285714285716
2020-07-01,Confirmed,207,4,tricounty,173.42857142857142,3.857142857142857
2020-07-02,Confirmed,211,4,tricounty,178.14285714285714,4.0
2020-07-03,Confirmed,186,6,tricounty,181.0,4.714285714285714
2020-07-04,Confirmed,116,4,tricounty,178.85714285714286,4.571428571428571
2020-07-05,Confirmed,153,0,tricounty,184.85714285714286,3.7142857142857144
2020-07-06,Confirmed,303,1,tricounty,199.0,3.2857142857142856
2020-07-07,Confirmed,280,5,tricounty,208.0,3.4285714285714284
2020-07-08,Confirmed,294,3,tricounty,220.42857142857142,3.2857142857142856
2020-07-09,Confirmed,254,3,tricounty,226.57142857142858,3.142857142857143
2020-07-10,Confirmed,262,2,tricounty,237.42857142857142,2.5714285714285716
2020-07-11,Confirmed,193,2,tricounty,248.42857142857142,2.2857142857142856
2020-07-12,Confirmed,178,5,tricounty,252.0,3.0
2020-07-13,Confirmed,369,1,tricounty,261.42857142857144,3.0
2020-07-14,Confirmed,297,1,tricounty,263.85714285714283,2.4285714285714284
2020-07-15,Confirmed,288,1,tricounty,263.0,2.142857142857143
2020-07-16,Confirmed,315,3,tricounty,271.7142857142857,2.142857142857143
2020-07-17,Confirmed,252,2,tricounty,270.2857142857143,2.142857142857143
2020-07-18,Confirmed,192,4,tricounty,270.14285714285717,2.4285714285714284
2020-07-19,Confirmed,157,0,tricounty,267.14285714285717,1.7142857142857142
2020-07-20,Confirmed,343,3,tricounty,263.42857142857144,2.0
2020-07-21,Confirmed,329,4,tricounty,268.0,2.4285714285714284
2020-07-22,Confirmed,334,2,tricounty,274.57142857142856,2.5714285714285716
2020-07-23,Confirmed,309,3,tricounty,273.7142857142857,2.5714285714285716
2020-07-24,Confirmed,299,5,tricounty,280.42857142857144,3.0
2020-07-25,Confirmed,222,1,tricounty,284.7142857142857,2.5714285714285716
2020-07-26,Confirmed,186,2,tricounty,288.85714285714283,2.857142857142857
2020-07-27,Confirmed,332,2,tricounty,287.2857142857143,2.7142857142857144
2020-07-28,Confirmed,348,2,tricounty,290.0,2.4285714285714284
2020-07-29,Confirmed,377,4,tricounty,296.14285714285717,2.7142857142857144
2020-07-30,Confirmed,320,4,tricounty,297.7142857142857,2.857142857142857
2020-07-31,Confirmed,330,3,tricounty,302.14285714285717,2.5714285714285716
2020-08-01,Confirmed,302,2,tricounty,313.57142857142856,2.7142857142857144
2020-08-02,Confirmed,232,3,tricounty,320.14285714285717,2.857142857142857
2020-08-03,Confirmed,386,3,tricounty,327.85714285714283,3.0
2020-08-04,Confirmed,392,2,tricounty,334.14285714285717,3.0
2020-08-05,Confirmed,336,3,tricounty,328.2857142857143,2.857142857142857
2020-08-06,Confirmed,327,3,tricounty,329.2857142857143,2.7142857142857144
2020-08-07,Confirmed,368,8,tricounty,334.7142857142857,3.4285714285714284
2020-08-08,Confirmed,269,5,tricounty,330.0,3.857142857142857
2020-08-09,Confirmed,276,6,tricounty,336.2857142857143,4.285714285714286
2020-08-10,Confirmed,483,2,tricounty,350.14285714285717,4.142857142857143
2020-08-11,Confirmed,381,3,tricounty,348.57142857142856,4.285714285714286
2020-08-12,Confirmed,358,3,tricounty,351.7142857142857,4.285714285714286
2020-08-13,Confirmed,343,3,tricounty,354.0,4.285714285714286
2020-08-14,Confirmed,297,5,tricounty,343.85714285714283,3.857142857142857
2020-08-15,Confirmed,244,2,tricounty,340.2857142857143,3.4285714285714284
2020-08-16,Confirmed,223,1,tricounty,332.7142857142857,2.7142857142857144
2020-08-17,Confirmed,354,3,tricounty,314.2857142857143,2.857142857142857
2020-08-18,Confirmed,309,6,tricounty,304.0,3.2857142857142856
2020-08-19,Confirmed,308,7,tricounty,296.85714285714283,3.857142857142857
2020-08-20,Confirmed,312,5,tricounty,292.42857142857144,4.142857142857143
2020-08-21,Confirmed,317,3,tricounty,295.2857142857143,3.857142857142857
2020-08-22,Confirmed,277,1,tricounty,300.0,3.7142857142857144
2020-08-23,Confirmed,245,6,tricounty,303.14285714285717,4.428571428571429
2020-08-24,Confirmed,358,3,tricounty,303.7142857142857,4.428571428571429
2020-08-25,Confirmed,268,7,tricounty,297.85714285714283,4.571428571428571
2020-08-26,Confirmed,247,5,tricounty,289.14285714285717,4.285714285714286
2020-08-27,Confirmed,244,6,tricounty,279.42857142857144,4.428571428571429
2020-08-28,Confirmed,255,6,tricounty,270.57142857142856,4.857142857142857
2020-08-29,Confirmed,220,2,tricounty,262.42857142857144,5.0
2020-08-30,Confirmed,159,2,tricounty,250.14285714285714,4.428571428571429
2020-08-31,Confirmed,250,4,tricounty,234.71428571428572,4.571428571428571
2020-09-01,Confirmed,320,7,tricounty,242.14285714285714,4.571428571428571
2020-09-02,Confirmed,225,4,tricounty,239.0,4.428571428571429
